Spanish	4	145533611	11369
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	0	0	0.0
				1)	_de_	1	2738336	0.010674027
				2)	_del	22	467107	0.001820782
				3)	_deb	60	248460	9.684965E-4
				4)	_des	63	240587	9.3780755E-4
				5)	_dec	184	109135	4.2540795E-4
				6)	_der	322	74601	2.907945E-4
				7)	_dem	340	72378	2.8212927E-4
				8)	_def	906	35172	1.3710037E-4
				9)	_det	1002	31699	1.2356263E-4
				10)	_den	1387	23161	9.028152E-5
				11)	_dej	1718	18254	7.115405E-5
				12)	_dep	2020	14995	5.8450474E-5
				13)	_ded	3397	6348	2.4744488E-5
				14)	_dev	4285	3877	1.5112537E-5
				15)	_deu	4638	3250	1.2668492E-5
				16)	_deg	7057	1071	4.1747553E-6
			2)	_di	0	0	0.0
				1)	_dis	240	90006	3.5084315E-4
				2)	_dic	466	56703	2.2102815E-4
				3)	_dir	596	48585	1.8938421E-4
				4)	_dif	693	43597	1.69941E-4
				5)	_dip	1435	22417	8.738141E-5
				6)	_div	1814	17103	6.666745E-5
				7)	_din	2293	12415	4.839364E-5
				8)	_diá	2492	10906	4.251156E-5
				9)	_dig	2592	10324	4.0242925E-5
				10)	_die	3227	6978	2.7200227E-5
				11)	_dim	3659	5417	2.1115453E-5
				12)	_dij	3754	5119	1.995385E-5
				13)	_dia	4416	3660	1.4266671E-5
				14)	_dio	6223	1542	6.0107122E-6
				15)	_dil	6239	1532	5.971732E-6
				16)	_dió	7917	737	2.872824E-6
			3)	_du	0	0	0.0
				1)	_dur	902	35313	1.3764999E-4
				2)	_dud	1745	17886	6.971959E-5
				3)	_dup	6755	1209	4.712679E-6
				4)	_dum	8588	559	2.1789806E-6
				5)	_due	10269	293	1.1421133E-6
			4)	_do	0	0	0.0
				1)	_dos	1006	31592	1.2314554E-4
				2)	_don	2028	14911	5.812304E-5
				3)	_doc	2263	12734	4.96371E-5
				4)	_dom	4243	3952	1.5404887E-5
				5)	_dot	4791	3027	1.1799239E-5
