Spanish	3	182816045	3776
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	1	4088745	0.015937919
			2)	_di	100	337613	0.0013160147
			3)	_do	522	74261	2.894692E-4
			4)	_da	525	74111	2.888845E-4
			5)	_du	675	55695	2.1709898E-4
			6)	_dí	1169	22852	8.907704E-5
			7)	_dé	1616	9861	3.8438153E-5
			8)	_dr	1898	5261	2.0507365E-5
			9)	_dó	1992	4399	1.7147291E-5
			10)	_dá	3301	423	1.648853E-6
			11)	_dú	3364	387	1.5085251E-6
		2)	_l	0	0	0.0
			1)	_la	4	2484897	0.009686123
			2)	_lo	23	1050446	0.004094636
			3)	_le	328	122102	4.759533E-4
			4)	_lu	454	85524	3.3337233E-4
			5)	_li	530	73587	2.8684194E-4
			6)	_ll	638	60517	2.3589512E-4
			7)	_lí	1327	17105	6.6675246E-5
			8)	_ló	2172	3263	1.2719166E-5
			9)	_lá	2508	1735	6.763026E-6
			10)	_lt	3276	441	1.719017E-6
		3)	_q	0	0	0.0
			1)	_qu	9	1612655	0.006286125
		4)	_c	0	0	0.0
			1)	_co	11	1550146	0.006042465
			2)	_ca	117	286918	0.0011184056
			3)	_cu	123	272525	0.0010623018
			4)	_cr	212	170888	6.66121E-4
			5)	_ci	315	125100	4.8763948E-4
			6)	_cl	577	67789	2.6424136E-4
			7)	_ce	648	59064	2.3023132E-4
			8)	_có	1262	19311	7.5274234E-5
			9)	_ch	1689	8524	3.322653E-5
			10)	_cá	1932	4844	1.88819E-5
			11)	_cí	2615	1447	5.6404024E-6
			12)	_cé	2650	1343	5.2350106E-6
			13)	_cs	3135	579	2.2569407E-6
		5)	_e	0	0	0.0
			1)	_en	14	1451462	0.0056577954
			2)	_es	15	1390290	0.005419347
			3)	_el	18	1177300	0.0045891125
			4)	_ex	166	208901	8.142956E-4
			5)	_em	311	126694	4.938529E-4
			6)	_eu	352	115764	4.512478E-4
			7)	_ec	597	65264	2.543989E-4
			8)	_ej	709	52940	2.0636E-4
			9)	_ef	728	51572	2.0102753E-4
