Spanish	3	72854185	3229
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	1	1630962	0.015915202
			2)	_di	95	143670	0.001401956
			3)	_do	495	31764	3.0995844E-4
			4)	_da	532	29042	2.8339672E-4
			5)	_du	712	21080	2.0570218E-4
			6)	_dí	1089	10304	1.0054816E-4
			7)	_dé	1628	3771	3.679805E-5
			8)	_dr	1797	2703	2.6376329E-5
			9)	_dó	1960	1867	1.82185E-5
		2)	_l	0	0	0.0
			1)	_la	4	988509	0.009646037
			2)	_lo	25	410865	0.0040092897
			3)	_le	314	50066	4.8855244E-4
			4)	_lu	446	35344	3.448927E-4
			5)	_li	526	29232	2.8525078E-4
			6)	_ll	607	25291	2.4679382E-4
			7)	_lí	1306	7049	6.8785324E-5
			8)	_ló	2082	1504	1.4676285E-5
			9)	_lá	2838	394	3.8447183E-6
		3)	_q	0	0	0.0
			1)	_qu	8	670778	0.0065455646
		4)	_c	0	0	0.0
			1)	_co	11	629471	0.006142484
			2)	_ca	111	115975	0.0011317035
			3)	_cu	115	112981	0.0011024876
			4)	_cr	245	60561	5.909644E-4
			5)	_ci	331	47781	4.6625503E-4
			6)	_cl	629	24320	2.3731864E-4
			7)	_ce	658	23231	2.26692E-4
			8)	_có	1270	7522	7.340094E-5
			9)	_ch	1749	2981	2.9089098E-5
			10)	_cá	1942	1939	1.8921088E-5
			11)	_cé	2450	773	7.543064E-6
			12)	_cí	2537	676	6.5965214E-6
		5)	_e	0	0	0.0
			1)	_en	14	590256	0.005759817
			2)	_es	15	549476	0.0053618792
			3)	_el	18	473375	0.004619273
			4)	_ex	162	87946	8.5819187E-4
			5)	_em	330	47844	4.668698E-4
			6)	_eu	396	39799	3.8836533E-4
			7)	_ej	692	21749	2.122304E-4
			8)	_ec	703	21440	2.0921513E-4
			9)	_ef	774	18688	1.8236064E-4
			10)	_ev	833	16480	1.6081461E-4
			11)	_e_	1088	10345	1.0094825E-4
			12)	_er	1196	8648	8.438864E-5
			13)	_eq	1215	8380	8.177345E-5
