Spanish	4	57659626	8990
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	0	0	0.0
				1)	_de_	1	1089986	0.010636266
				2)	_del	21	189358	0.0018477872
				3)	_des	62	95348	9.304218E-4
				4)	_deb	64	93263	9.10076E-4
				5)	_dec	162	47779	4.662355E-4
				6)	_dem	313	29681	2.8963218E-4
				7)	_der	348	28408	2.7721003E-4
				8)	_def	835	14899	1.4538695E-4
				9)	_det	987	12890	1.2578278E-4
				10)	_den	1314	9831	9.593255E-5
				11)	_dej	1609	7721	7.534282E-5
				12)	_dep	2039	5831	5.6899877E-5
				13)	_ded	3313	2681	2.6161648E-5
				14)	_dev	4282	1550	1.5125161E-5
				15)	_deu	4872	1145	1.1173102E-5
				16)	_deg	7011	441	4.303352E-6
			2)	_di	0	0	0.0
				1)	_dis	221	37635	3.6724866E-4
				2)	_dic	414	25011	2.4406154E-4
				3)	_dir	480	22168	2.1631907E-4
				4)	_dif	636	18334	1.7890625E-4
				5)	_dip	1316	9794	9.55715E-5
				6)	_div	1832	6637	6.4764965E-5
				7)	_din	2349	4755	4.6400088E-5
				8)	_dig	2539	4246	4.143318E-5
				9)	_diá	2542	4241	4.138439E-5
				10)	_die	2963	3263	3.1840904E-5
				11)	_dim	3575	2295	2.2394996E-5
				12)	_dij	3780	2034	1.9848114E-5
				13)	_dia	4381	1476	1.4403056E-5
				14)	_dio	5893	720	7.025881E-6
				15)	_dil	6071	672	6.557489E-6
			3)	_do	0	0	0.0
				1)	_dos	933	13614	1.328477E-4
				2)	_don	1940	6250	6.098855E-5
				3)	_doc	2219	5181	5.0557068E-5
				4)	_dom	4231	1593	1.5544761E-5
				5)	_dot	4519	1375	1.3417482E-5
				6)	_doy	4562	1342	1.3095461E-5
				7)	_dob	4673	1273	1.2422148E-5
				8)	_dol	6891	460	4.4887574E-6
				9)	_dop	8091	279	2.722529E-6
			4)	_du	0	0	0.0
				1)	_dur	982	12922	1.2609505E-4
				2)	_dud	1708	7234	7.059059E-5
