Spanish	3	24348505	2612
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	1	549537	0.016003856
			2)	_di	88	50017	0.0014566168
			3)	_do	488	10811	3.1484265E-4
			4)	_da	582	8991	2.618398E-4
			5)	_du	751	6479	1.8868425E-4
			6)	_dí	1065	3653	1.0638426E-4
			7)	_dé	1656	1227	3.573323E-5
			8)	_dr	1790	928	2.702562E-5
			9)	_dó	1900	714	2.0793419E-5
		2)	_l	0	0	0.0
			1)	_la	4	330994	0.009639352
			2)	_lo	25	137759	0.0040118773
			3)	_le	330	16013	4.6633754E-4
			4)	_lu	454	11632	3.3875217E-4
			5)	_li	545	9608	2.7980836E-4
			6)	_ll	614	8374	2.4387127E-4
			7)	_lí	1322	2285	6.6544766E-5
			8)	_ló	2034	549	1.5988217E-5
		3)	_q	0	0	0.0
			1)	_qu	8	222619	0.0064832075
		4)	_c	0	0	0.0
			1)	_co	10	213333	0.0062127765
			2)	_ca	109	40574	0.0011816137
			3)	_cu	125	36271	0.0010562999
			4)	_cr	257	19380	5.643928E-4
			5)	_ci	336	15829	4.6097903E-4
			6)	_cl	641	8001	2.330086E-4
			7)	_ce	694	7273	2.1180748E-4
			8)	_có	1250	2590	7.542711E-5
			9)	_ch	1705	1090	3.1743453E-5
			10)	_cá	1884	740	2.1550602E-5
			11)	_cí	2546	220	6.406936E-6
		5)	_e	0	0	0.0
			1)	_en	14	200892	0.005850464
			2)	_es	16	180037	0.005243116
			3)	_el	18	157080	0.004574552
			4)	_ex	156	30705	8.9420436E-4
			5)	_em	337	15803	4.6022184E-4
			6)	_eu	408	12991	3.7832954E-4
			7)	_ec	696	7265	2.1157449E-4
			8)	_ej	703	7195	2.0953592E-4
			9)	_ef	746	6587	1.9182947E-4
			10)	_ev	806	5916	1.7228833E-4
			11)	_e_	1129	3208	9.342477E-5
			12)	_er	1184	2897	8.43677E-5
			13)	_eq	1256	2570	7.4844655E-5
			14)	_ed	1454	1803	5.2507752E-5
			15)	_et	1583	1411	4.1091756E-5
