Spanish	4	19020126	6361
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	0	0	0.0
				1)	_de_	1	367076	0.010690147
				2)	_del	21	65188	0.0018984333
				3)	_deb	60	31949	9.304327E-4
				4)	_des	61	31640	9.2143385E-4
				5)	_dec	159	16176	4.710845E-4
				6)	_dem	335	9529	2.7750767E-4
				7)	_der	357	9202	2.6798464E-4
				8)	_def	890	4779	1.3917612E-4
				9)	_det	980	4361	1.2700295E-4
				10)	_den	1338	3237	9.426932E-5
				11)	_dej	1683	2447	7.12626E-5
				12)	_dep	2014	1989	5.7924524E-5
				13)	_ded	3283	909	2.6472293E-5
				14)	_dev	4493	477	1.3891401E-5
				15)	_deu	4785	405	1.17945865E-5
			2)	_di	0	0	0.0
				1)	_dis	204	13260	3.8616348E-4
				2)	_dir	368	9035	2.631212E-4
				3)	_dic	412	8340	2.4288111E-4
				4)	_dif	586	6494	1.891211E-4
				5)	_dip	1443	2934	8.544522E-5
				6)	_div	1969	2040	5.940977E-5
				7)	_din	2392	1561	4.546012E-5
				8)	_dig	2435	1523	4.435347E-5
				9)	_diá	2735	1259	3.6665147E-5
				10)	_die	3337	883	2.571511E-5
				11)	_dim	3464	814	2.3705663E-5
				12)	_dij	3702	709	2.0647807E-5
				13)	_dia	4275	529	1.5405769E-5
				14)	_dio	5663	270	7.863057E-6
				15)	_dil	5976	239	6.960262E-6
			3)	_do	0	0	0.0
				1)	_dos	961	4451	1.2962396E-4
				2)	_doc	1935	2076	6.0458176E-5
				3)	_don	2030	1967	5.728383E-5
				4)	_dom	4189	555	1.6162952E-5
				5)	_doy	4325	514	1.4968931E-5
				6)	_dot	4387	499	1.45320955E-5
				7)	_dob	5009	367	1.0687933E-5
			4)	_du	0	0	0.0
				1)	_dur	1088	3948	1.1497537E-4
				2)	_dud	1810	2244	6.5350745E-5
			5)	_dí	0	0	0.0
				1)	_día	1205	3632	1.05772684E-4
			6)	_da	0	0	0.0
				1)	_dar	1271	3448	1.0041416E-4
