Spanish	3	237875928	3947
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	1	5326500	0.01595156
			2)	_di	96	450668	0.0013496402
			3)	_do	519	97225	2.9116502E-4
			4)	_da	540	93940	2.8132726E-4
			5)	_du	692	70534	2.1123204E-4
			6)	_dí	1145	30849	9.238519E-5
			7)	_dé	1614	12805	3.8347836E-5
			8)	_dr	1834	8087	2.4218582E-5
			9)	_dó	2006	5630	1.686047E-5
			10)	_dá	3326	549	1.6441204E-6
			11)	_dú	3518	393	1.1769387E-6
		2)	_l	0	0	0.0
			1)	_la	4	3233540	0.009683659
			2)	_lo	23	1357395	0.004065065
			3)	_le	336	156408	4.684036E-4
			4)	_lu	455	110735	3.3162418E-4
			5)	_li	531	94717	2.836542E-4
			6)	_ll	623	80160	2.4005954E-4
			7)	_lí	1318	22299	6.6780034E-5
			8)	_ló	2110	4686	1.40334205E-5
			9)	_lá	2567	2049	6.1362525E-6
			10)	_lt	3443	441	1.3206868E-6
			11)	_lú	3904	213	6.3788275E-7
		3)	_q	0	0	0.0
			1)	_qu	9	2122681	0.006356909
		4)	_c	0	0	0.0
			1)	_co	12	2028338	0.006074375
			2)	_ca	113	374109	0.0011203648
			3)	_cu	120	356222	0.0010667975
			4)	_cr	220	216085	6.471216E-4
			5)	_ci	323	160489	4.806252E-4
			6)	_cl	600	84766	2.538534E-4
			7)	_ce	647	76799	2.2999417E-4
			8)	_có	1257	25315	7.581222E-5
			9)	_ch	1716	10475	3.1370055E-5
			10)	_cá	1958	6139	1.8384799E-5
			11)	_cí	2587	1940	5.8098244E-6
			12)	_cé	2722	1533	4.590959E-6
			13)	_cs	3302	579	1.733963E-6
			14)	_cú	3856	232	6.947831E-7
			15)	_c_	3863	227	6.798093E-7
		5)	_e	0	0	0.0
			1)	_en	14	1904053	0.005702172
			2)	_es	15	1792924	0.0053693675
			3)	_el	18	1540723	0.0046140878
			4)	_ex	164	277985	8.324969E-4
			5)	_em	316	163756	4.904091E-4
			6)	_eu	371	142611	4.2708497E-4
