Spanish	4	189412198	12167
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	0	0	0.0
				1)	_de_	1	3560213	0.010661965
				2)	_del	21	619197	0.0018543432
				3)	_deb	60	316441	9.476632E-4
				4)	_des	61	315399	9.4454264E-4
				5)	_dec	179	147175	4.4075304E-4
				6)	_dem	334	94598	2.8329782E-4
				7)	_der	343	93292	2.7938667E-4
				8)	_def	898	45767	1.3706094E-4
				9)	_det	1013	41414	1.2402478E-4
				10)	_den	1343	31056	9.30051E-5
				11)	_dej	1703	23710	7.1005634E-5
				12)	_dep	2050	18948	5.6744615E-5
				13)	_ded	3331	8569	2.5662053E-5
				14)	_dev	4247	5140	1.539304E-5
				15)	_deu	4818	3835	1.1484884E-5
				16)	_deg	7078	1373	4.1117983E-6
			2)	_di	0	0	0.0
				1)	_dis	234	118607	3.551989E-4
				2)	_dic	433	78324	2.3456117E-4
				3)	_dir	546	66874	2.0027123E-4
				4)	_dif	657	58387	1.7485475E-4
				5)	_dip	1412	29826	8.9321555E-5
				6)	_div	1808	22097	6.61751E-5
				7)	_din	2338	15683	4.696674E-5
				8)	_diá	2520	13923	4.169597E-5
				9)	_dig	2564	13657	4.0899366E-5
				10)	_die	3276	8864	2.6545506E-5
				11)	_dim	3620	7234	2.1664056E-5
				12)	_dij	3740	6711	2.00978E-5
				13)	_dia	4457	4647	1.3916626E-5
				14)	_dio	6168	2071	6.2021372E-6
				15)	_dil	6223	2014	6.031436E-6
				16)	_dió	7943	954	2.8569962E-6
				17)	_dib	11209	278	8.3254184E-7
				18)	_di_	11928	218	6.5285656E-7
			3)	_du	0	0	0.0
				1)	_dur	950	43855	1.3133496E-4
				2)	_dud	1729	23305	6.979276E-5
				3)	_dup	6911	1478	4.4262474E-6
				4)	_dum	8191	870	2.6054367E-6
				5)	_due	10259	386	1.1559754E-6
				6)	_dua	11892	221	6.6184083E-7
			4)	_do	0	0	0.0
				1)	_dos	998	42109	1.2610613E-4
				2)	_don	2061	18854	5.646311E-5
