Spanish	3	4792767	1746
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	1	110561	0.016088307
			2)	_di	85	10079	0.0014666477
			3)	_do	491	2116	3.0791017E-4
			4)	_da	558	1887	2.745872E-4
			5)	_du	768	1268	1.8451328E-4
			6)	_dí	1046	748	1.0884537E-4
			7)	_dé	1570	282	4.1035288E-5
		2)	_l	0	0	0.0
			1)	_la	4	66015	0.009606186
			2)	_lo	24	28092	0.004087813
			3)	_le	346	3113	4.5298884E-4
			4)	_lu	455	2327	3.386139E-4
			5)	_li	525	1993	2.900118E-4
			6)	_ll	615	1703	2.478124E-4
			7)	_lí	1342	443	6.446324E-5
		3)	_q	0	0	0.0
			1)	_qu	8	45326	0.0065956223
		4)	_c	0	0	0.0
			1)	_co	11	42597	0.0061985115
			2)	_ca	106	8336	0.0012130147
			3)	_cu	116	7629	0.0011101355
			4)	_cr	267	3751	5.4582756E-4
			5)	_ci	321	3303	4.8063672E-4
			6)	_cl	673	1512	2.2001899E-4
			7)	_ce	719	1395	2.0299372E-4
			8)	_có	1265	496	7.217554E-5
			9)	_ch	1428	382	5.558681E-5
		5)	_e	0	0	0.0
			1)	_en	14	40351	0.0058716843
			2)	_es	15	36479	0.005308249
			3)	_el	18	30877	0.004493073
			4)	_ex	165	5892	8.573756E-4
			5)	_em	341	3144	4.5749982E-4
			6)	_eu	445	2398	3.4894547E-4
			7)	_ec	637	1619	2.3558912E-4
			8)	_ej	702	1439	2.0939638E-4
			9)	_ef	743	1328	1.932442E-4
			10)	_ev	845	1099	1.5992121E-4
			11)	_e_	1137	636	9.254767E-5
			12)	_er	1190	581	8.4544336E-5
			13)	_eq	1271	493	7.1739E-5
			14)	_et	1405	401	5.8351598E-5
			15)	_ed	1620	259	3.7688438E-5
		6)	_s	0	0	0.0
			1)	_se	22	28478	0.004143982
			2)	_si	75	11355	0.0016523252
			3)	_so	81	10643	0.0015487183
			4)	_su	88	9988	0.0014534058
			5)	_sa	405	2598	3.780485E-4
