Spanish	4	3505687	3101
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	0	0	0.0
				1)	_de_	1	73796	0.01073844
				2)	_del	24	12525	0.001822578
				3)	_des	60	6631	9.6491136E-4
				4)	_deb	63	6425	9.349352E-4
				5)	_dec	165	3171	4.6142872E-4
				6)	_der	243	2400	3.492365E-4
				7)	_dem	330	1949	2.8360914E-4
				8)	_def	865	978	1.4231387E-4
				9)	_det	1071	812	1.1815835E-4
				10)	_den	1311	668	9.720416E-5
				11)	_dej	1665	502	7.3048635E-5
				12)	_dep	2382	311	4.525523E-5
			2)	_di	0	0	0.0
				1)	_dis	202	2657	3.866339E-4
				2)	_dir	379	1800	2.6192737E-4
				3)	_dic	418	1665	2.4228283E-4
				4)	_dif	581	1318	1.9178905E-4
				5)	_dip	1413	610	8.8764275E-5
				6)	_div	1876	429	6.242602E-5
				7)	_din	2326	322	4.6855897E-5
				8)	_dig	2402	309	4.49642E-5
				9)	_diá	2914	226	3.2886437E-5
				10)	_dim	2998	214	3.1140255E-5
			3)	_do	0	0	0.0
				1)	_dos	999	860	1.2514308E-4
				2)	_don	1937	414	6.0243296E-5
				3)	_doc	2001	396	5.7624024E-5
			4)	_du	0	0	0.0
				1)	_dur	1153	759	1.1044604E-4
				2)	_dud	1767	460	6.6937E-5
			5)	_dí	0	0	0.0
				1)	_día	1176	745	1.0840883E-4
			6)	_da	0	0	0.0
				1)	_dar	1236	707	1.02879254E-4
				2)	_dad	2205	349	5.0784805E-5
				3)	_dat	2831	235	3.4196073E-5
		2)	_l	0	0	0.0
			1)	_la	0	0	0.0
				1)	_la_	2	49786	0.00724462
				2)	_las	18	14789	0.0021520243
				3)	_lar	2039	385	5.6023353E-5
				4)	_lam	2447	300	4.3654563E-5
				5)	_lab	2525	286	4.161735E-5
				6)	_lad	2681	256	3.725189E-5
			2)	_lo	0	0	0.0
				1)	_los	11	21863	0.003181399
				2)	_lo_	77	5490	7.988785E-4
				3)	_log	2091	374	5.4422686E-5
