Spanish	3	2347708	1399
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	1	55273	0.01608905
			2)	_di	92	4980	0.0014495951
			3)	_do	489	1069	3.111681E-4
			4)	_da	535	978	2.8467953E-4
			5)	_du	724	675	1.9648127E-4
			6)	_dí	1012	399	1.1614226E-4
		2)	_l	0	0	0.0
			1)	_la	4	33137	0.00964563
			2)	_lo	25	13668	0.003978527
			3)	_le	387	1402	4.0809886E-4
			4)	_lu	466	1123	3.2688663E-4
			5)	_li	536	976	2.8409736E-4
			6)	_ll	634	827	2.4072595E-4
		3)	_q	0	0	0.0
			1)	_qu	8	22538	0.006560437
		4)	_c	0	0	0.0
			1)	_co	10	21447	0.0062428648
			2)	_ca	111	4019	0.001169864
			3)	_cu	118	3732	0.001086323
			4)	_cr	271	1862	5.419972E-4
			5)	_ci	326	1630	4.7446587E-4
			6)	_cl	679	730	2.1249085E-4
			7)	_ce	702	700	2.0375835E-4
			8)	_có	1236	269	7.8301426E-5
		5)	_e	0	0	0.0
			1)	_en	14	20284	0.005904335
			2)	_es	15	18661	0.005431907
			3)	_el	19	15262	0.0044425144
			4)	_ex	167	2815	8.1939966E-4
			5)	_em	317	1669	4.8581813E-4
			6)	_eu	447	1173	3.4144078E-4
			7)	_ec	600	882	2.567355E-4
			8)	_ef	717	684	1.9910102E-4
			9)	_ej	725	672	1.9560802E-4
			10)	_ev	814	581	1.6911943E-4
			11)	_e_	1128	327	9.518426E-5
			12)	_er	1235	269	7.8301426E-5
			13)	_eq	1303	236	6.869567E-5
		6)	_s	0	0	0.0
			1)	_se	21	14527	0.004228568
			2)	_si	75	5648	0.0016440388
			3)	_so	80	5312	0.0015462348
			4)	_su	84	5108	0.0014868538
			5)	_sa	444	1187	3.4551596E-4
			6)	_só	733	666	1.9386152E-4
			7)	_sí	1298	238	6.927784E-5
		7)	_y	0	0	0.0
			1)	_y_	26	13415	0.0039048833
			2)	_ya	571	926	2.695432E-4
			3)	_yo	987	410	1.1934418E-4
		8)	_p	0	0	0.0
