Spanish	4	1601461	2012
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	0	0	0.0
				1)	_de_	1	36838	0.010722929
				2)	_del	23	6302	0.0018344073
				3)	_des	54	3562	0.001036839
				4)	_deb	62	3200	9.3146675E-4
				5)	_dec	158	1680	4.8902E-4
				6)	_dem	316	998	2.905012E-4
				7)	_der	393	879	2.5586228E-4
				8)	_def	834	506	1.4728818E-4
				9)	_det	1149	384	1.1177601E-4
				10)	_den	1396	310	9.0235844E-5
				11)	_dej	1647	254	7.3935174E-5
			2)	_di	0	0	0.0
				1)	_dis	209	1298	3.778262E-4
				2)	_dir	387	887	2.5819094E-4
				3)	_dic	433	825	2.4014377E-4
				4)	_dif	563	684	1.9910102E-4
				5)	_dip	1406	307	8.936259E-5
				6)	_div	1902	214	6.229184E-5
			3)	_do	0	0	0.0
				1)	_dos	1019	425	1.2371043E-4
				2)	_don	1789	230	6.694917E-5
			4)	_dí	0	0	0.0
				1)	_día	1103	398	1.1585118E-4
			5)	_du	0	0	0.0
				1)	_dur	1131	391	1.1381359E-4
				2)	_dud	1621	258	7.509951E-5
			6)	_da	0	0	0.0
				1)	_dar	1225	365	1.06245425E-4
		2)	_l	0	0	0.0
			1)	_la	0	0	0.0
				1)	_la_	2	24804	0.0072200317
				2)	_las	16	7616	0.002216891
				3)	_lar	2012	200	5.8216672E-5
			2)	_lo	0	0	0.0
				1)	_los	11	10546	0.0030697652
				2)	_lo_	76	2723	7.9262E-4
				3)	_loc	1982	203	5.908992E-5
			3)	_lu	0	0	0.0
				1)	_lug	537	708	2.0608702E-4
				2)	_luc	1803	227	6.6075925E-5
			4)	_ll	0	0	0.0
				1)	_lle	646	621	1.8076277E-4
				2)	_lla	1994	201	5.8507754E-5
			5)	_li	0	0	0.0
				1)	_lib	799	529	1.539831E-4
				2)	_lim	1503	280	8.150334E-5
			6)	_le	0	0	0.0
				1)	_leg	955	452	1.3156967E-4
				2)	_le_	1253	356	1.0362567E-4
				3)	_les	1811	225	6.5493754E-5
