Portuguese	4	502288	992
	1)	m	0	0	0.0
		1)	me	0	0	0.0
			1)	men	0	0	0.0
				1)	ment	1	6224	0.0051665343
			2)	med	0	0	0.0
				1)	medi	443	373	3.0962683E-4
			3)	mei	0	0	0.0
				1)	meir	523	340	2.8223355E-4
			4)	mer	0	0	0.0
				1)	merc	532	336	2.7891315E-4
			5)	mel	0	0	0.0
				1)	melh	568	321	2.664617E-4
		2)	mo	0	0	0.0
			1)	mos	0	0	0.0
				1)	mos_	9	2884	0.0023940047
		3)	mb	0	0	0.0
			1)	mbé	0	0	0.0
				1)	mbém	105	908	7.5372966E-4
			2)	mbi	0	0	0.0
				1)	mbie	943	210	1.7432072E-4
		4)	mp	0	0	0.0
			1)	mpr	0	0	0.0
				1)	mpre	132	776	6.441566E-4
			2)	mpo	0	0	0.0
				1)	mpor	193	619	5.138311E-4
			3)	mpl	0	0	0.0
				1)	mple	780	249	2.0669457E-4
		5)	ma	0	0	0.0
			1)	mas	0	0	0.0
				1)	mas_	139	754	6.258944E-4
			2)	mai	0	0	0.0
				1)	maio	665	286	2.3740824E-4
			3)	mar	0	0	0.0
				1)	mar_	798	245	2.0337419E-4
			4)	mat	0	0	0.0
				1)	maté	823	240	1.992237E-4
			5)	maç	0	0	0.0
				1)	maçã	842	236	1.959033E-4
		6)	mu	0	0	0.0
			1)	mun	0	0	0.0
				1)	muni	347	439	3.6441334E-4
		7)	mi	0	0	0.0
			1)	min	0	0	0.0
				1)	mina	566	322	2.672918E-4
			2)	mis	0	0	0.0
				1)	miss	598	308	2.556704E-4
			3)	mit	0	0	0.0
				1)	miti	948	209	1.7349063E-4
		8)	mí	0	0	0.0
			1)	mín	0	0	0.0
				1)	míni	942	210	1.7432072E-4
	2)	ç	0	0	0.0
		1)	çã	0	0	0.0
			1)	ção	0	0	0.0
				1)	ção_	2	6057	0.005027908
		2)	çõ	0	0	0.0
			1)	çõe	0	0	0.0
				1)	ções	22	1857	0.0015414933
		3)	ço	0	0	0.0
			1)	ços	0	0	0.0
				1)	ços_	708	274	2.2744705E-4
	3)	e	0	0	0.0
		1)	en	0	0	0.0
			1)	ent	0	0	0.0
				1)	ente	3	5203	0.004319004
				2)	ento	16	2295	0.0019050766
				3)	enta	19	1912	0.0015871488
				4)	enti	372	422	3.5030165E-4
				5)	entr	533	336	2.7891315E-4
			2)	enh	0	0	0.0
				1)	enho	29	1592	0.0013215172
				2)	enha	583	313	2.598209E-4
			3)	end	0	0	0.0
				1)	ende	241	531	4.4078243E-4
				2)	endo	560	324	2.68952E-4
			4)	env	0	0	0.0
				1)	envo	267	502	4.1670955E-4
			5)	ena	0	0	0.0
				1)	enas	454	368	3.0547634E-4
			6)	enç	0	0	0.0
				1)	ençã	576	316	2.623112E-4
			7)	enc	0	0	0.0
				1)	enci	649	290	2.4072862E-4
				2)	enco	881	226	1.8760232E-4
			8)	ens	0	0	0.0
				1)	ensa	772	252	2.0918487E-4
				2)	enso	777	250	2.0752467E-4
		2)	es	0	0	0.0
			1)	ese	0	0	0.0
				1)	esen	48	1247	0.0010351331
			2)	esp	0	0	0.0
				1)	espe	80	1044	8.666231E-4
				2)	espo	265	504	4.1836975E-4
			3)	est	0	0	0.0
				1)	esta	131	780	6.47477E-4
				2)	estã	162	678	5.628069E-4
				3)	estr	370	423	3.5113175E-4
				4)	está	445	373	3.0962683E-4
				5)	esti	581	314	2.60651E-4
				6)	esto	950	209	1.7349063E-4
			4)	ess	0	0	0.0
				1)	esso	167	668	5.5450597E-4
				2)	esse	563	323	2.681219E-4
				3)	essá	617	302	2.506898E-4
				4)	essi	732	265	2.1997617E-4
			5)	esa	0	0	0.0
				1)	esas	843	236	1.959033E-4
