Portuguese	3	827452	989
	1)	ã	0	0	0.0
		1)	ão	0	0	0.0
			1)	ão_	1	11974	0.009939602
			2)	ãos	775	287	2.3823832E-4
	2)	o	0	0	0.0
		1)	os	0	0	0.0
			1)	os_	2	11454	0.00950795
			2)	ost	119	1506	0.0012501286
			3)	oss	223	929	7.711617E-4
			4)	osi	500	481	3.992775E-4
			5)	osa	960	211	1.7515082E-4
		2)	on	0	0	0.0
			1)	ont	53	2520	0.0020918488
			2)	ons	76	1904	0.001580508
			3)	ona	163	1238	0.0010276622
			4)	onc	230	918	7.620306E-4
			5)	ond	562	418	3.4698125E-4
			6)	onh	715	318	2.639714E-4
			7)	onf	731	310	2.573306E-4
			8)	onó	782	282	2.3408784E-4
			9)	ono	873	243	2.0171399E-4
			10)	ong	935	218	1.8096152E-4
			11)	onv	951	213	1.7681102E-4
		3)	or	0	0	0.0
			1)	or_	63	2255	0.0018718726
			2)	ora	99	1689	0.0014020368
			3)	orm	136	1361	0.0011297644
			4)	ort	143	1323	0.0010982206
			5)	ori	247	878	7.288267E-4
			6)	ore	252	869	7.213558E-4
			7)	ord	257	854	7.089043E-4
			8)	orr	408	586	4.8643784E-4
			9)	orç	574	409	3.3951038E-4
			10)	orn	870	244	2.0254409E-4
		4)	om	0	0	0.0
			1)	ome	233	910	7.553898E-4
			2)	omp	313	735	6.101226E-4
			3)	omu	370	629	5.221321E-4
			4)	omi	605	392	3.253987E-4
			5)	oma	790	280	2.3242764E-4
			6)	omo	984	201	1.6684984E-4
		5)	ou	0	0	0.0
			1)	ou_	244	889	7.379578E-4
			2)	out	428	564	4.6817568E-4
		6)	od	0	0	0.0
			1)	ode	259	851	7.06414E-4
			2)	odu	812	271	2.2495675E-4
		7)	ol	0	0	0.0
			1)	olí	268	826	6.8566157E-4
			2)	olv	429	564	4.6817568E-4
			3)	ole	537	439	3.6441334E-4
			4)	olu	540	436	3.6192304E-4
			5)	olo	555	423	3.5113175E-4
			6)	oli	835	258	2.1416547E-4
			7)	ola	889	237	1.967334E-4
		8)	op	0	0	0.0
			1)	opo	285	794	6.590984E-4
			2)	ope	300	764	6.341954E-4
		9)	og	0	0	0.0
			1)	ogr	355	656	5.445448E-4
		10)	ov	0	0	0.0
			1)	ova	418	574	4.7647665E-4
			2)	ovo	661	352	2.9219475E-4
			3)	ove	672	348	2.8887435E-4
		11)	oc	0	0	0.0
			1)	oci	420	573	4.7564655E-4
			2)	oca	488	497	4.1255905E-4
			3)	oce	531	445	3.6939394E-4
			4)	ocu	571	411	3.4117058E-4
			5)	ocr	952	213	1.7681102E-4
		12)	oj	0	0	0.0
			1)	oje	486	500	4.1504935E-4
		13)	oi	0	0	0.0
			1)	oi_	519	455	3.776949E-4
			2)	ois	557	422	3.5030165E-4
		14)	ob	0	0	0.0
			1)	obr	584	405	3.3619E-4
			2)	obj	618	380	3.154375E-4
			3)	obl	732	310	2.573306E-4
		15)	ot	0	0	0.0
			1)	ota	597	397	3.295492E-4
			2)	ote	950	214	1.7764112E-4
	3)	e	0	0	0.0
		1)	en	0	0	0.0
			1)	ent	3	10439	0.008665401
			2)	enh	75	1916	0.0015904692
			3)	end	175	1168	9.695553E-4
			4)	ens	241	892	7.404481E-4
			5)	enc	346	673	5.586564E-4
			6)	ena	365	641	5.320933E-4
			7)	env	425	570	4.7315628E-4
			8)	enç	498	487	4.0425808E-4
			9)	eno	722	315	2.614811E-4
			10)	ene	871	244	2.0254409E-4
		2)	es	0	0	0.0
			1)	es_	8	6860	0.0056944774
			2)	est	33	3199	0.0026554859
			3)	ess	72	1985	0.001647746
			4)	ese	79	1847	0.0015331923
			5)	esp	91	1740	0.0014443718
			6)	esa	373	628	5.21302E-4
			7)	esc	456	539	4.474232E-4
			8)	eso	863	247	2.0503438E-4
			9)	esi	944	216	1.7930132E-4
			10)	esm	948	215	1.7847122E-4
		3)	er	0	0	0.0
			1)	er_	47	2753	0.0022852619
			2)	era	93	1735	0.0014402213
			3)	eri	128	1469	0.001219415
			4)	ere	159	1244	0.0010326428
			5)	erm	306	752	6.242342E-4
			6)	erc	331	698	5.794089E-4
			7)	erá	349	664	5.5118557E-4
			8)	erv	391	605	5.022097E-4
			9)	ero	458	537	4.45763E-4
			10)	ern	462	533	4.4244263E-4
			11)	ert	542	434	3.6026284E-4
			12)	erg	588	404	3.353599E-4
			13)	err	607	390	3.237385E-4
			14)	ers	623	376	3.121171E-4
			15)	erd	644	360	2.9883554E-4
			16)	erã	955	213	1.7681102E-4
		4)	em	0	0	0.0
			1)	em_	51	2595	0.0021541063
			2)	emo	127	1473	0.0012227354
			3)	emp	171	1189	9.869874E-4
			4)	ema	239	898	7.4542867E-4
			5)	eme	385	619	5.138311E-4
			6)	emb	628	373	3.0962683E-4
		5)	ec	0	0	0.0
			1)	ect	74	1919	0.0015929594
			2)	ece	113	1554	0.0012899734
			3)	eci	134	1370	0.0011372352
			4)	eco	234	910	7.553898E-4
			5)	ecu	657	353	2.9302484E-4
		6)	el	0	0	0.0
			1)	ela	92	1738	0.0014427116
			2)	el_	172	1185	9.83667E-4
			3)	ele	344	674	5.594865E-4
			4)	elh	593	401	3.328696E-4
			5)	eli	892	236	1.959033E-4
		7)	ei	0	0	0.0
			1)	eit	121	1498	0.0012434879
			2)	eir	162	1239	0.0010284923
			3)	eia	440	554	4.598747E-4
			4)	eis	508	472	3.918066E-4
			5)	eio	774	288	2.3906842E-4
			6)	ei_	945	216	1.7930132E-4
		8)	eg	0	0	0.0
			1)	egu	146	1296	0.001075808
			2)	egi	242	891	7.39618E-4
			3)	ega	356	654	5.428846E-4
			4)	ego	599	397	3.295492E-4
			5)	egr	698	327	2.714423E-4
		9)	ev	0	0	0.0
			1)	eve	156	1254	0.0010409438
			2)	evi	475	512	4.2501054E-4
			3)	eva	783	282	2.3408784E-4
		10)	ef	0	0	0.0
			1)	efe	221	947	7.861035E-4
			2)	efi	559	420	3.4864145E-4
			3)	efo	703	326	2.706122E-4
		11)	ed	0	0	0.0
			1)	edi	295	773	6.416663E-4
			2)	ede	846	254	2.1084507E-4
			3)	eda	910	231	1.917528E-4
		12)	eu	0	0	0.0
			1)	eur	364	643	5.337535E-4
			2)	eu_	742	306	2.540102E-4
		13)	eq	0	0	0.0
			1)	equ	371	629	5.221321E-4
		14)	ep	0	0	0.0
			1)	epu	372	629	5.221321E-4
			2)	epr	964	210	1.7432072E-4
		15)	ej	0	0	0.0
			1)	eja	394	602	4.997194E-4
		16)	ex	0	0	0.0
			1)	exi	461	533	4.4244263E-4
			2)	ext	576	409	3.3951038E-4
			3)	exp	614	383	3.179278E-4
			4)	exe	627	373	3.0962683E-4
			5)	exc	906	232	1.925829E-4
		17)	et	0	0	0.0
			1)	ete	482	507	4.2086004E-4
			2)	eti	806	273	2.2661695E-4
			3)	eta	879	242	2.008839E-4
		18)	ez	0	0	0.0
			1)	ez_	566	416	3.4532105E-4
		19)	eb	0	0	0.0
			1)	eba	624	375	3.1128703E-4
		20)	ea	0	0	0.0
			1)	eal	652	356	2.9551514E-4
	4)	n	0	0	0.0
		1)	nt	0	0	0.0
			1)	nte	4	8308	0.00689646
			2)	nto	28	3438	0.0028538795
			3)	nta	48	2713	0.002252058
			4)	ntr	155	1254	0.0010409438
			5)	nti	218	973	8.0768607E-4
		2)	nã	0	0	0.0
			1)	não	49	2629	0.0021823295
		3)	nc	0	0	0.0
			1)	nci	56	2423	0.0020113292
			2)	nco	322	721	5.985012E-4
			3)	nce	352	659	5.470351E-4
			4)	ncl	687	333	2.7642288E-4
			5)	ncí	883	240	1.992237E-4
		4)	nh	0	0	0.0
			1)	nho	90	1750	0.0014526728
			2)	nha	359	648	5.37904E-4
			3)	nhe	704	324	2.68952E-4
		5)	nd	0	0	0.0
			1)	ndo	154	1257	0.0010434341
			2)	nde	177	1162	9.645747E-4
			3)	nda	231	918	7.620306E-4
			4)	ndi	441	553	4.590446E-4
		6)	ns	0	0	0.0
			1)	nst	219	967	8.027055E-4
			2)	nsi	413	580	4.8145725E-4
			3)	nsa	468	519	4.3082124E-4
			4)	nse	561	419	3.4781135E-4
			5)	nso	786	281	2.3325774E-4
			6)	nsp	822	264	2.1914607E-4
			7)	ns_	939	217	1.8013142E-4
		7)	na	0	0	0.0
			1)	nal	262	838	6.956227E-4
			2)	nas	348	666	5.5284577E-4
			3)	nac	558	422	3.5030165E-4
			4)	nad	582	406	3.370201E-4
			5)	nan	590	401	3.328696E-4
			6)	nai	610	388	3.220783E-4
			7)	na_	702	326	2.706122E-4
			8)	nar	729	312	2.589908E-4
			9)	nam	840	257	2.1333537E-4
		8)	ni	0	0	0.0
