Spanish	5	345847	769
	1)	_	0	0	0.0
		1)	_q	0	0	0.0
			1)	_qu	0	0	0.0
				1)	_que	0	0	0.0
					1)	_que_	1	9945	0.0057922984
				2)	_qui	0	0	0.0
					1)	_quie	215	408	2.3763276E-4
					2)	_quis	557	254	1.4793804E-4
				3)	_qué	0	0	0.0
					1)	_qué_	671	222	1.2930018E-4
		2)	_l	0	0	0.0
			1)	_lo	0	0	0.0
				1)	_los	0	0	0.0
					1)	_los_	3	5210	0.0030344771
			2)	_la	0	0	0.0
				1)	_las	0	0	0.0
					1)	_las_	5	3727	0.0021707288
			3)	_lu	0	0	0.0
				1)	_lug	0	0	0.0
					1)	_luga	306	344	2.0035703E-4
		3)	_d	0	0	0.0
			1)	_de	0	0	0.0
				1)	_del	0	0	0.0
					1)	_del_	7	3048	0.0017752565
				2)	_deb	0	0	0.0
					1)	_debe	34	1130	6.5814954E-4
					2)	_deba	251	383	2.2307193E-4
				3)	_dec	0	0	0.0
					1)	_deci	96	650	3.785816E-4
				4)	_des	0	0	0.0
					1)	_desa	156	480	2.7956796E-4
					2)	_dese	310	343	1.997746E-4
					3)	_desd	516	268	1.5609211E-4
				5)	_der	0	0	0.0
					1)	_dere	381	312	1.8171917E-4
				6)	_dem	0	0	0.0
					1)	_demo	615	237	1.3803667E-4
			2)	_di	0	0	0.0
				1)	_dir	0	0	0.0
					1)	_dire	258	377	2.1957733E-4
				2)	_dic	0	0	0.0
					1)	_dich	448	287	1.6715833E-4
				3)	_dis	0	0	0.0
					1)	_disp	509	269	1.5667453E-4
		4)	_p	0	0	0.0
			1)	_po	0	0	0.0
				1)	_por	0	0	0.0
					1)	_por_	8	2717	0.0015824711
					2)	_porq	344	326	1.8987323E-4
				2)	_pol	0	0	0.0
					1)	_polí	62	830	4.8341957E-4
				3)	_pos	0	0	0.0
					1)	_posi	113	586	3.413059E-4
				4)	_pod	0	0	0.0
					1)	_pode	451	286	1.665759E-4
					2)	_podr	647	228	1.3279478E-4
				5)	_pon	0	0	0.0
					1)	_pone	515	268	1.5609211E-4
			2)	_pa	0	0	0.0
				1)	_par	0	0	0.0
					1)	_para	13	2211	0.0012877599
					2)	_part	57	845	4.921561E-4
					3)	_pare	687	217	1.2638801E-4
				2)	_paí	0	0	0.0
					1)	_país	199	426	2.4811656E-4
			3)	_pr	0	0	0.0
				1)	_pro	0	0	0.0
					1)	_prop	55	864	5.032223E-4
					2)	_prog	128	560	3.261626E-4
					3)	_proc	239	389	2.2656652E-4
					4)	_prob	322	338	1.9686243E-4
					5)	_proy	656	226	1.3162992E-4
					6)	_prod	700	214	1.246407E-4
				2)	_pre	0	0	0.0
					1)	_pres	69	788	4.589574E-4
					2)	_prec	450	286	1.665759E-4
					3)	_preg	555	255	1.4852047E-4
				3)	_pri	0	0	0.0
					1)	_prim	252	382	2.224895E-4
					2)	_prin	317	340	1.980273E-4
			4)	_pu	0	0	0.0
				1)	_pue	0	0	0.0
					1)	_pued	79	718	4.1818706E-4
					2)	_pues	362	319	1.857962E-4
				2)	_pun	0	0	0.0
					1)	_punt	327	334	1.945327E-4
			5)	_pe	0	0	0.0
				1)	_per	0	0	0.0
					1)	_pero	83	693	4.0362624E-4
					2)	_pers	331	332	1.9336783E-4
					3)	_perm	403	301	1.7531241E-4
			6)	_pl	0	0	0.0
				1)	_pla	0	0	0.0
					1)	_plan	387	308	1.7938943E-4
		5)	_u	0	0	0.0
			1)	_un	0	0	0.0
				1)	_una	0	0	0.0
					1)	_una_	9	2539	0.001478798
			2)	_us	0	0	0.0
				1)	_ust	0	0	0.0
					1)	_uste	438	289	1.683232E-4
		6)	_c	0	0	0.0
			1)	_co	0	0	0.0
				1)	_con	0	0	0.0
					1)	_con_	15	2041	0.0011887462
					2)	_cons	24	1260	7.338659E-4
					3)	_cont	27	1249	7.274591E-4
					4)	_conc	135	531	3.0927206E-4
					5)	_conf	400	303	1.7647728E-4
					6)	_cond	500	271	1.578394E-4
					7)	_conv	556	255	1.4852047E-4
				2)	_com	0	0	0.0
					1)	_como	33	1158	6.744577E-4
					2)	_comp	45	1040	6.057306E-4
					3)	_comu	171	455	2.650071E-4
				3)	_col	0	0	0.0
					1)	_cole	600	242	1.4094885E-4
			2)	_cu	0	0	0.0
				1)	_cue	0	0	0.0
					1)	_cues	231	400	2.329733E-4
					2)	_cuen	749	204	1.1881638E-4
				2)	_cua	0	0	0.0
					1)	_cuan	245	386	2.2481923E-4
					2)	_cual	537	262	1.5259751E-4
			3)	_ci	0	0	0.0
				1)	_ciu	0	0	0.0
					1)	_ciud	324	336	1.9569756E-4
			4)	_cr	0	0	0.0
				1)	_cre	0	0	0.0
					1)	_creo	428	291	1.6948808E-4
					2)	_crea	688	217	1.2638801E-4
			5)	_ca	0	0	0.0
				1)	_cas	0	0	0.0
					1)	_caso	433	290	1.6890564E-4
			6)	_cl	0	0	0.0
				1)	_cla	0	0	0.0
					1)	_clar	487	274	1.595867E-4
		7)	_e	0	0	0.0
			1)	_es	0	0	0.0
				1)	_est	0	0	0.0
					1)	_esta	17	1846	0.0010751717
					2)	_este	30	1193	6.9484283E-4
					3)	_esto	68	795	4.630344E-4
					4)	_está	120	573	3.3373424E-4
					5)	_estr	370	317	1.8463134E-4
				2)	_esp	0	0	0.0
					1)	_espe	109	593	3.453829E-4
				3)	_ese	0	0	0.0
					1)	_ese_	715	210	1.2231097E-4
			2)	_eu	0	0	0.0
				1)	_eur	0	0	0.0
					1)	_euro	93	663	3.8615323E-4
			3)	_en	0	0	0.0
				1)	_ent	0	0	0.0
					1)	_entr	129	560	3.261626E-4
				2)	_enm	0	0	0.0
					1)	_enmi	486	276	1.6075157E-4
			4)	_ec	0	0	0.0
				1)	_eco	0	0	0.0
					1)	_econ	263	372	2.1666517E-4
			5)	_el	0	0	0.0
				1)	_ell	0	0	0.0
					1)	_ello	365	318	1.8521376E-4
