Spanish	6	174607	479
	1)	a	0	0	0.0
		1)	ac	0	0	0.0
			1)	aci	0	0	0.0
				1)	ació	0	0	0.0
					1)	ación	0	0	0.0
						1)	ación_	1	3741	0.0021788827
				2)	acio	0	0	0.0
					1)	acion	0	0	0.0
						1)	acione	21	817	4.7584795E-4
						2)	aciona	82	436	2.539409E-4
			2)	acu	0	0	0.0
				1)	acue	0	0	0.0
					1)	acuer	0	0	0.0
						1)	acuerd	327	255	1.4852047E-4
		2)	am	0	0	0.0
			1)	ame	0	0	0.0
				1)	amen	0	0	0.0
					1)	ament	0	0	0.0
						1)	amente	6	1383	8.0550514E-4
						2)	amenta	181	328	1.910381E-4
			2)	amb	0	0	0.0
				1)	ambi	0	0	0.0
					1)	ambié	0	0	0.0
						1)	ambién	15	899	5.236075E-4
					2)	ambie	0	0	0.0
						1)	ambien	452	207	1.2056368E-4
			3)	ami	0	0	0.0
				1)	amie	0	0	0.0
					1)	amien	0	0	0.0
						1)	amient	226	299	1.7414754E-4
			4)	amp	0	0	0.0
				1)	ampl	0	0	0.0
					1)	ampli	0	0	0.0
						1)	amplia	418	220	1.2813532E-4
		3)	al	0	0	0.0
			1)	alm	0	0	0.0
				1)	alme	0	0	0.0
					1)	almen	0	0	0.0
						1)	alment	37	598	3.4829509E-4
			2)	ali	0	0	0.0
				1)	alid	0	0	0.0
					1)	alida	0	0	0.0
						1)	alidad	191	321	1.8696107E-4
		4)	an	0	0	0.0
			1)	ant	0	0	0.0
				1)	ante	0	0	0.0
					1)	antes	0	0	0.0
						1)	antes_	52	541	3.1509637E-4
			2)	anc	0	0	0.0
				1)	anci	0	0	0.0
					1)	ancia	0	0	0.0
						1)	ancia_	392	228	1.3279478E-4
					2)	ancie	0	0	0.0
						1)	ancier	444	210	1.2231097E-4
		5)	at	0	0	0.0
			1)	ati	0	0	0.0
				1)	ativ	0	0	0.0
					1)	ativa	0	0	0.0
						1)	ativa_	121	380	2.2132463E-4
			2)	ate	0	0	0.0
				1)	ater	0	0	0.0
					1)	ateri	0	0	0.0
						1)	ateria	462	205	1.19398814E-4
		6)	ar	0	0	0.0
			1)	arr	0	0	0.0
				1)	arro	0	0	0.0
					1)	arrol	0	0	0.0
						1)	arroll	137	364	2.120057E-4
			2)	ari	0	0	0.0
				1)	ario	0	0	0.0
					1)	arios	0	0	0.0
						1)	arios_	236	293	1.7065294E-4
		7)	ap	0	0	0.0
			1)	apl	0	0	0.0
				1)	apli	0	0	0.0
					1)	aplic	0	0	0.0
						1)	aplica	211	311	1.8113674E-4
		8)	aí	0	0	0.0
			1)	aís	0	0	0.0
				1)	aíse	0	0	0.0
					1)	aíses	0	0	0.0
						1)	aíses_	234	294	1.7123537E-4
		9)	ah	0	0	0.0
			1)	aho	0	0	0.0
				1)	ahor	0	0	0.0
					1)	ahora	0	0	0.0
						1)	ahora_	253	284	1.6541104E-4
		10)	ab	0	0	0.0
			1)	abi	0	0	0.0
				1)	abil	0	0	0.0
					1)	abili	0	0	0.0
						1)	abilid	303	266	1.5492724E-4
			2)	aba	0	0	0.0
				1)	abaj	0	0	0.0
					1)	abajo	0	0	0.0
						1)	abajo_	363	239	1.3920154E-4
		11)	ad	0	0	0.0
			1)	ada	0	0	0.0
				1)	adan	0	0	0.0
					1)	adano	0	0	0.0
						1)	adanos	378	232	1.3512452E-4
		12)	as	0	0	0.0
			1)	asu	0	0	0.0
				1)	asun	0	0	0.0
					1)	asunt	0	0	0.0
						1)	asunto	413	223	1.2988261E-4
	2)	m	0	0	0.0
		1)	me	0	0	0.0
			1)	men	0	0	0.0
				1)	ment	0	0	0.0
					1)	mente	0	0	0.0
						1)	mente_	2	2386	0.0013896857
					2)	mento	0	0	0.0
						1)	mento_	49	554	3.22668E-4
						2)	mentos	316	260	1.5143264E-4
					3)	menta	0	0	0.0
						1)	mentar	290	271	1.578394E-4
			2)	med	0	0	0.0
				1)	medi	0	0	0.0
					1)	medid	0	0	0.0
						1)	medida	258	283	1.648286E-4
			3)	mer	0	0	0.0
				1)	merc	0	0	0.0
					1)	merca	0	0	0.0
						1)	mercad	374	233	1.3570694E-4
		2)	mb	0	0	0.0
			1)	mbi	0	0	0.0
				1)	mbié	0	0	0.0
					1)	mbién	0	0	0.0
						1)	mbién_	14	899	5.236075E-4
				2)	mbie	0	0	0.0
					1)	mbien	0	0	0.0
						1)	mbient	459	205	1.19398814E-4
			2)	mbr	0	0	0.0
				1)	mbro	0	0	0.0
					1)	mbros	0	0	0.0
						1)	mbros_	116	383	2.2307193E-4
			3)	mba	0	0	0.0
				1)	mbar	0	0	0.0
					1)	mbarg	0	0	0.0
						1)	mbargo	357	241	1.403664E-4
		3)	mi	0	0	0.0
			1)	mie	0	0	0.0
				1)	mien	0	0	0.0
					1)	mient	0	0	0.0
						1)	miento	27	734	4.27506E-4
					2)	miend	0	0	0.0
						1)	mienda	268	280	1.630813E-4
				2)	miem	0	0	0.0
					1)	miemb	0	0	0.0
						1)	miembr	67	464	2.7024903E-4
			2)	mis	0	0	0.0
				1)	mism	0	0	0.0
					1)	mismo	0	0	0.0
						1)	mismo_	325	255	1.4852047E-4
		4)	mp	0	0	0.0
			1)	mpo	0	0	0.0
				1)	mpor	0	0	0.0
					1)	mport	0	0	0.0
						1)	mporta	41	574	3.3431666E-4
			2)	mpe	0	0	0.0
				1)	mpet	0	0	0.0
					1)	mpete	0	0	0.0
						1)	mpeten	177	330	1.9220296E-4
			3)	mpr	0	0	0.0
				1)	mpre	0	0	0.0
					1)	mpres	0	0	0.0
						1)	mpresa	397	227	1.3221234E-4
		5)	mu	0	0	0.0
			1)	mun	0	0	0.0
				1)	muni	0	0	0.0
					1)	munit	0	0	0.0
						1)	munita	319	259	1.508502E-4
		6)	ma	0	0	0.0
			1)	mac	0	0	0.0
				1)	maci	0	0	0.0
					1)	mació	0	0	0.0
						1)	mación	441	211	1.2289341E-4
			2)	mat	0	0	0.0
				1)	mate	0	0	0.0
					1)	mater	0	0	0.0
						1)	materi	460	205	1.19398814E-4
	3)	i	0	0	0.0
		1)	io	0	0	0.0
			1)	ion	0	0	0.0
				1)	ione	0	0	0.0
					1)	iones	0	0	0.0
						1)	iones_	3	2262	0.0013174639
				2)	iona	0	0	0.0
					1)	ional	0	0	0.0
						1)	ional_	206	314	1.8288403E-4
