Spanish	3	1118479	1004
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	1	27218	0.015852667
			2)	_di	92	2460	0.0014327858
			3)	_do	498	534	3.1101934E-4
			4)	_da	558	469	2.731612E-4
			5)	_du	737	332	1.9336783E-4
			6)	_dí	987	208	1.2114611E-4
		2)	_l	0	0	0.0
			1)	_la	4	16385	0.009543168
			2)	_lo	26	6805	0.0039634584
			3)	_le	357	757	4.4090196E-4
			4)	_lu	484	546	3.1800853E-4
			5)	_li	606	430	2.504463E-4
			6)	_ll	645	400	2.329733E-4
		3)	_q	0	0	0.0
			1)	_qu	8	11340	0.006604793
		4)	_c	0	0	0.0
			1)	_co	10	10675	0.0062174746
			2)	_ca	112	2001	0.0011654489
			3)	_cu	118	1903	0.0011083705
			4)	_cr	279	912	5.3117913E-4
			5)	_ci	294	877	5.1079394E-4
			6)	_cl	676	375	2.1841246E-4
			7)	_ce	716	346	2.0152189E-4
		5)	_e	0	0	0.0
			1)	_en	14	9868	0.005747451
			2)	_es	15	9403	0.0054766196
			3)	_el	19	7817	0.004552881
			4)	_ex	166	1506	8.7714446E-4
			5)	_em	306	849	4.9448584E-4
			6)	_eu	405	664	3.8673566E-4
			7)	_ec	590	442	2.574355E-4
			8)	_ef	706	353	2.0559893E-4
			9)	_ej	770	317	1.8463134E-4
			10)	_ev	812	291	1.6948808E-4
		6)	_s	0	0	0.0
			1)	_se	20	7412	0.004316995
			2)	_si	75	2815	0.0016395495
			3)	_so	87	2538	0.0014782156
			4)	_su	91	2467	0.0014368627
			5)	_sa	500	529	3.0810718E-4
			6)	_só	730	338	1.9686243E-4
		7)	_y	0	0	0.0
			1)	_y_	27	6648	0.0038720162
			2)	_ya	535	487	2.8364497E-4
			3)	_yo	883	250	1.4560831E-4
		8)	_p	0	0	0.0
			1)	_pr	28	6260	0.003646032
			2)	_po	30	5918	0.0034468397
			3)	_pa	39	4681	0.00272637
			4)	_pe	93	2450	0.0014269614
			5)	_pu	156	1571	9.150026E-4
