Spanish	4	673160	1083
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	0	0	0.0
				1)	_de_	1	18097	0.010540294
				2)	_del	25	3161	0.0018410714
				3)	_des	56	1722	0.00100295
				4)	_deb	62	1652	9.621797E-4
				5)	_dec	153	834	4.857493E-4
				6)	_dem	320	500	2.9121662E-4
				7)	_der	545	352	2.0501649E-4
				8)	_def	972	224	1.3046505E-4
			2)	_di	0	0	0.0
				1)	_dis	210	662	3.855708E-4
				2)	_dir	364	461	2.6850172E-4
				3)	_dic	409	423	2.4636925E-4
				4)	_dif	643	316	1.840489E-4
			3)	_dí	0	0	0.0
				1)	_día	1052	207	1.2056368E-4
			4)	_do	0	0	0.0
				1)	_dos	1074	202	1.17651514E-4
		2)	_l	0	0	0.0
			1)	_la	0	0	0.0
				1)	_la_	2	12302	0.0071650934
				2)	_las	18	3727	0.0021707288
			2)	_lo	0	0	0.0
				1)	_los	11	5210	0.0030344771
				2)	_lo_	76	1375	8.008457E-4
			3)	_lu	0	0	0.0
				1)	_lug	575	344	2.0035703E-4
			4)	_ll	0	0	0.0
				1)	_lle	668	306	1.7822457E-4
			5)	_le	0	0	0.0
				1)	_leg	858	252	1.4677318E-4
				2)	_le_	1066	204	1.1881638E-4
			6)	_li	0	0	0.0
				1)	_lib	963	226	1.3162992E-4
		3)	_q	0	0	0.0
			1)	_qu	0	0	0.0
				1)	_que	4	10294	0.005995568
				2)	_qui	164	814	4.7410064E-4
				3)	_qué	984	222	1.2930018E-4
		4)	_e	0	0	0.0
			1)	_en	0	0	0.0
				1)	_en_	5	8139	0.004740424
				2)	_ent	183	753	4.3857223E-4
				3)	_enm	731	285	1.6599346E-4
				4)	_enc	751	280	1.630813E-4
			2)	_el	0	0	0.0
				1)	_el_	7	6994	0.004073538
				2)	_ell	424	416	2.4229223E-4
				3)	_ele	861	251	1.4619074E-4
			3)	_es	0	0	0.0
				1)	_est	12	5025	0.002926727
				2)	_es_	35	2459	0.0014322033
				3)	_esp	184	742	4.3216546E-4
