Spanish	2	721886	263
	1)	e	0	0	0.0
		1)	e_	1	24750	0.02886597
		2)	es	8	14548	0.016967358
		3)	en	9	13725	0.016007492
		4)	er	22	7828	0.00912981
		5)	el	32	6582	0.0076765986
		6)	ec	53	3961	0.0046197213
		7)	em	82	2873	0.003350785
		8)	eg	99	1855	0.0021634898
		9)	ed	111	1558	0.0018170982
		10)	et	132	1171	0.0013657394
		11)	ea	139	1054	0.0012292821
		12)	eb	145	955	0.0011138183
		13)	ex	152	900	0.0010496717
		14)	ev	174	712	8.304069E-4
		15)	ef	175	710	8.280743E-4
		16)	eñ	179	671	7.825885E-4
		17)	eo	189	596	6.951159E-4
		18)	ej	194	513	5.983128E-4
		19)	ep	199	488	5.6915527E-4
		20)	eu	222	366	4.2686646E-4
		21)	ez	248	265	3.0907E-4
	2)	s	0	0	0.0
		1)	s_	2	22653	0.026420236
		2)	st	34	6358	0.007415347
		3)	se	37	5414	0.006314358
		4)	si	59	3695	0.004309485
		5)	so	86	2540	0.0029624065
		6)	sa	95	2104	0.002453899
		7)	su	105	1660	0.001936061
		8)	sp	115	1501	0.001750619
		9)	sc	193	521	6.076432E-4
		10)	sm	227	339	3.9537632E-4
		11)	sí	254	227	2.647505E-4
	3)	a	0	0	0.0
		1)	a_	3	22588	0.026344426
		2)	ar	23	7695	0.008974693
		3)	as	24	7664	0.008938537
		4)	ad	38	5116	0.0059668003
		5)	an	39	4988	0.0058175134
		6)	al	42	4819	0.0056204083
		7)	ac	51	4248	0.0049544503
		8)	am	83	2873	0.003350785
		9)	ab	100	1737	0.0020258662
		10)	at	108	1646	0.0019197328
		11)	ap	150	911	0.001062501
		12)	ay	161	795	9.272099E-4
		13)	au	201	477	5.5632595E-4
		14)	añ	224	356	4.1520345E-4
		15)	av	228	334	3.8954482E-4
		16)	ag	230	330	3.848796E-4
		17)	aj	231	324	3.7788178E-4
		18)	az	235	314	3.6621877E-4
		19)	aí	257	224	2.612516E-4
		20)	ah	263	200	2.3326036E-4
	4)	o	0	0	0.0
		1)	o_	4	16635	0.019401431
		2)	os	14	10227	0.011927769
		3)	on	27	7022	0.008189771
		4)	or	35	6188	0.0072170757
		5)	om	92	2249	0.0026230128
		6)	ol	110	1594	0.001859085
		7)	ob	116	1466	0.0017097985
		8)	od	123	1317	0.0015360195
		9)	oc	130	1188	0.0013855665
		10)	op	135	1121	0.0013074243
		11)	ot	160	807	9.4120554E-4
		12)	oy	214	410	4.7818373E-4
		13)	og	229	333	3.883785E-4
	5)	_	0	0	0.0
		1)	_e	5	16220	0.018917415
		2)	_d	7	15827	0.01845906
		3)	_l	11	12779	0.014904171
		4)	_p	12	10823	0.0126228845
		5)	_a	15	9340	0.010893259
		6)	_c	16	8678	0.010121167
		7)	_s	19	8213	0.009578837
		8)	_q	36	5624	0.006559281
		9)	_m	44	4639	0.0054104743
		10)	_t	55	3811	0.004444776
		11)	_y	60	3639	0.0042441725
		12)	_n	64	3548	0.004138039
		13)	_r	67	3478	0.004056398
		14)	_i	76	3062	0.0035712162
		15)	_u	79	2947	0.0034370914
		16)	_h	81	2888	0.0033682797
		17)	_f	98	1896	0.0022113083
		18)	_o	102	1697	0.0019792141
		19)	_v	120	1386	0.0016164943
		20)	_g	153	899	0.0010485053
		21)	_b	167	742	8.6539594E-4
		22)	_j	218	390	4.548577E-4
		23)	_ú	262	201	2.3442667E-4
	6)	d	0	0	0.0
		1)	de	6	16210	0.018905751
		2)	do	40	4933	0.0057533667
		3)	da	45	4570	0.005329999
		4)	di	80	2913	0.0033974373
		5)	d_	121	1347	0.0015710086
		6)	du	192	529	6.169737E-4
		7)	dr	258	219	2.554201E-4
	7)	n	0	0	0.0
		1)	n_	10	13720	0.01600166
		2)	nt	21	8044	0.009381732
		3)	na	56	3778	0.0044062883
		4)	no	70	3306	0.0038557937
		5)	ne	73	3204	0.003736831
		6)	nc	84	2703	0.0031525139
		7)	nd	94	2185	0.0025483693
		8)	ni	103	1693	0.001974549
		9)	ns	107	1648	0.0019220654
		10)	nu	165	764	8.910546E-4
		11)	nf	172	715	8.3390577E-4
		12)	ng	236	312	3.6388615E-4
		13)	nv	247	271	3.160678E-4
	8)	l	0	0	0.0
		1)	la	13	10726	0.012509753
		2)	l_	25	7661	0.008935038
		3)	lo	46	4541	0.0052961763
		4)	le	69	3345	0.0039012795
		5)	li	93	2207	0.002574028
		6)	ll	158	846	9.866913E-4
		7)	lu	159	839	9.785272E-4
		8)	lt	185	612	7.137767E-4
		9)	lí	202	476	5.5515964E-4
		10)	lm	234	316	3.6855138E-4
		11)	lg	238	304	3.5455576E-4
	9)	u	0	0	0.0
		1)	ue	17	8518	0.0099345585
		2)	un	47	4431	0.0051678834
		3)	ur	106	1657	0.0019325621
		4)	uc	137	1082	0.0012619386
		5)	ui	140	1038	0.0012106213
		6)	ua	141	1038	0.0012106213
		7)	us	144	971	0.001132479
		8)	ul	155	877	0.0010228467
		9)	ud	163	772	9.0038497E-4
		10)	u_	190	564	6.5779424E-4
		11)	ut	207	463	5.399977E-4
		12)	um	211	427	4.980109E-4
		13)	uy	216	400	4.6652072E-4
		14)	up	217	396	4.6185552E-4
		15)	ug	240	285	3.32396E-4
		16)	ub	255	226	2.635842E-4
		17)	ué	261	202	2.3559296E-4
	10)	c	0	0	0.0
		1)	ci	18	8300	0.009680305
		2)	co	30	6822	0.007956511
		3)	ca	61	3633	0.0042371745
		4)	cu	90	2309	0.002692991
		5)	ce	91	2265	0.0026416737
		6)	ct	109	1626	0.0018964068
		7)	ch	149	912	0.0010636672
		8)	cr	169	728	8.490677E-4
		9)	cl	191	557	6.496301E-4
		10)	cc	210	433	5.050087E-4
	11)	r	0	0	0.0
		1)	re	20	8171	0.009529852
		2)	ra	28	6975	0.008134956
		3)	r_	29	6877	0.008020657
		4)	ro	41	4865	0.005674058
		5)	ri	72	3239	0.0037776516
		6)	rt	104	1691	0.0019722164
		7)	rm	113	1514	0.001765781
		8)	rí	162	775	9.038839E-4
		9)	rá	166	750	8.7472633E-4
		10)	rr	176	699	8.15245E-4
		11)	rc	178	685	7.9891674E-4
		12)	rd	184	619	7.219408E-4
		13)	rs	187	601	7.0094736E-4
		14)	rg	195	510	5.948139E-4
		15)	ru	204	470	5.4816186E-4
		16)	rn	223	356	4.1520345E-4
		17)	rl	242	280	3.265645E-4
		18)	rv	245	273	3.184004E-4
	12)	t	0	0	0.0
		1)	te	26	7522	0.008772922
		2)	ta	31	6708	0.007823553
		3)	to	43	4817	0.005618076
		4)	ti	50	4278	0.004989439
		5)	tr	62	3596	0.004194021
		6)	tu	131	1183	0.0013797351
		7)	tá	213	420	4.8984675E-4
	13)	q	0	0	0.0
		1)	qu	33	6464	0.0075389748
	14)	p	0	0	0.0
		1)	po	48	4419	0.005153888
		2)	pr	58	3725	0.004344474
		3)	pe	75	3144	0.0036668528
		4)	pa	77	3061	0.0035700498
		5)	pu	117	1457	0.0016993018
		6)	pl	134	1135	0.0013237526
		7)	pi	181	652	7.604288E-4
		8)	pt	253	229	2.6708312E-4
	15)	m	0	0	0.0
		1)	me	49	4308	0.005024428
		2)	mo	74	3161	0.00368668
		3)	ma	85	2634	0.003072039
		4)	mi	89	2406	0.0028061222
		5)	mp	96	2072	0.0024165774
		6)	mb	122	1330	0.0015511814
		7)	mu	148	927	0.0010811618
		8)	má	177	691	8.059146E-4
	16)	i	0	0	0.0
		1)	in	52	4189	0.004885638
		2)	ic	57	3726	0.0043456405
		3)	io	63	3558	0.004149702
		4)	ió	66	3506	0.004089054
		5)	ie	68	3361	0.0039199404
		6)	id	71	3248	0.0037881483
		7)	ia	78	2984	0.0034802447
		8)	is	87	2443	0.0028492752
		9)	im	97	1922	0.002241632
		10)	it	101	1719	0.0020048728
		11)	ir	119	1387	0.0016176606
		12)	iv	124	1308	0.0015255228
		13)	ig	156	859	0.0010018533
		14)	il	157	857	9.995206E-4
		15)	ib	173	714	8.327395E-4
		16)	i_	182	635	7.406016E-4
		17)	iz	186	607	7.079452E-4
		18)	if	196	508	5.9248134E-4
		19)	ié	203	476	5.5515964E-4
		20)	ip	215	403	4.7001962E-4
	17)	y	0	0	0.0
		1)	y_	54	3951	0.0046080584
		2)	ya	206	463	5.399977E-4
		3)	yo	221	371	4.3269797E-4
		4)	yu	246	272	3.1723408E-4
		5)	ye	259	207	2.4142448E-4
	18)	ó	0	0	0.0
		1)	ón	65	3546	0.004135706
		2)	óm	260	203	2.3675927E-4
	19)	h	0	0	0.0
		1)	ha	88	2414	0.0028154526
		2)	ho	143	976	0.0011383105
		3)	he	197	499	5.819846E-4
	20)	g	0	0	0.0
		1)	gu	112	1519	0.0017716124
		2)	ga	128	1205	0.0014053937
		3)	gr	154	890	0.0010380086
		4)	gi	168	732	8.537329E-4
		5)	go	180	665	7.755907E-4
		6)	ge	208	463	5.399977E-4
	21)	b	0	0	0.0
		1)	bi	114	1504	0.0017541179
		2)	br	118	1394	0.0016258247
		3)	bl	129	1196	0.001394897
		4)	ba	133	1163	0.001356409
		5)	be	146	953	0.0011114856
		6)	bu	226	342	3.988752E-4
		7)	bo	233	317	3.697177E-4
	22)	f	0	0	0.0
		1)	fi	125	1306	0.0015231902
		2)	fo	138	1063	0.0012397788
		3)	fe	171	718	8.374047E-4
		4)	fu	188	601	7.0094736E-4
		5)	fa	232	320	3.7321658E-4
		6)	fr	237	309	3.6038726E-4
	23)	v	0	0	0.0
		1)	va	126	1294	0.0015091945
		2)	ve	127	1209	0.0014100589
		3)	vi	142	1027	0.001197792
		4)	vo	147	943	0.0010998226
	24)	í	0	0	0.0
		1)	ía	136	1083	0.0012631048
		2)	ít	205	464	5.41164E-4
		3)	í_	220	372	4.3386428E-4
		4)	ís	249	261	3.0440476E-4
	25)	z	0	0	0.0
		1)	za	151	907	0.0010578358
		2)	zo	243	278	3.242319E-4
		3)	z_	250	258	3.0090587E-4
	26)	ñ	0	0	0.0
		1)	ño	164	771	8.992187E-4
		2)	ña	252	232	2.70582E-4
	27)	á	0	0	0.0
		1)	ás	170	720	8.397373E-4
		2)	á_	183	632	7.3710276E-4
		3)	án	225	342	3.988752E-4
	28)	é	0	0	0.0
		1)	én	198	493	5.749868E-4
		2)	és	239	286	3.3356232E-4
		3)	é_	241	280	3.265645E-4
	29)	j	0	0	0.0
		1)	je	200	485	5.656564E-4
		2)	ju	209	448	5.225032E-4
		3)	jo	212	421	4.9101305E-4
		4)	ja	244	274	3.195667E-4
	30)	x	0	0	0.0
		1)	xi	219	387	4.513588E-4
		2)	xp	256	224	2.612516E-4
	31)	ú	0	0	0.0
		1)	ún	251	249	2.9040914E-4
