Spanish	4	96543778	10302
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	0	0	0.0
				1)	_de_	1	1817614	0.0106441
				2)	_del	21	313823	0.0018377738
				3)	_des	62	160922	9.423727E-4
				4)	_deb	63	158933	9.3072496E-4
				5)	_dec	173	76619	4.486873E-4
				6)	_dem	319	49679	2.909244E-4
				7)	_der	335	48599	2.845998E-4
				8)	_def	873	24249	1.4200418E-4
				9)	_det	1008	21058	1.2331741E-4
				10)	_den	1338	16000	9.3697345E-5
				11)	_dej	1629	12791	7.490517E-5
				12)	_dep	1965	10321	6.044064E-5
				13)	_ded	3286	4524	2.6492924E-5
				14)	_dev	4302	2564	1.5014999E-5
				15)	_deu	5230	1639	9.598121E-6
				16)	_deg	6941	756	4.427199E-6
			2)	_di	0	0	0.0
				1)	_dis	230	61226	3.5854458E-4
				2)	_dic	423	40720	2.3845973E-4
				3)	_dir	540	34138	1.99915E-4
				4)	_dif	669	29394	1.7213373E-4
				5)	_dip	1342	15971	9.352752E-5
				6)	_div	1793	11417	6.685891E-5
				7)	_din	2344	7941	4.6503163E-5
				8)	_diá	2414	7625	4.465264E-5
				9)	_dig	2542	7080	4.1461073E-5
				10)	_die	3125	4968	2.9093024E-5
				11)	_dim	3531	3954	2.3154955E-5
				12)	_dij	3745	3446	2.0180065E-5
				13)	_dia	4430	2401	1.4060457E-5
				14)	_dil	6079	1115	6.5295335E-6
				15)	_dio	6178	1072	6.2777217E-6
				16)	_dió	8489	396	2.3190091E-6
			3)	_do	0	0	0.0
				1)	_dos	948	22334	1.3078978E-4
				2)	_don	1966	10312	6.0387938E-5
				3)	_doc	2269	8383	4.909155E-5
				4)	_dom	4344	2527	1.4798324E-5
				5)	_dot	4529	2285	1.3381152E-5
				6)	_dob	4700	2111	1.2362193E-5
				7)	_doy	4733	2074	1.2145518E-5
				8)	_dol	6996	740	4.333502E-6
				9)	_dop	9090	314	1.8388104E-6
				10)	_dog	9336	286	1.67484E-6
				11)	_dor	9724	247	1.4464528E-6
