Spanish	4	38424871	7942
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	0	0	0.0
				1)	_de_	1	728359	0.010629347
				2)	_del	20	128267	0.0018718715
				3)	_des	61	64186	9.367019E-4
				4)	_deb	62	64146	9.361182E-4
				5)	_dec	161	32619	4.7602717E-4
				6)	_dem	344	18905	2.7589116E-4
				7)	_der	365	18261	2.664929E-4
				8)	_def	838	9969	1.4548315E-4
				9)	_det	967	8762	1.2786873E-4
				10)	_den	1325	6576	9.596722E-5
				11)	_dej	1644	5021	7.327424E-5
				12)	_dep	2089	3780	5.5163637E-5
				13)	_ded	3265	1831	2.6720798E-5
				14)	_dev	4330	1014	1.4797864E-5
				15)	_deu	5233	650	9.485811E-6
				16)	_deg	7169	274	3.998634E-6
			2)	_di	0	0	0.0
				1)	_dis	216	25449	3.7139136E-4
				2)	_dic	415	16582	2.4199032E-4
				3)	_dir	436	15953	2.3281098E-4
				4)	_dif	610	12613	1.840685E-4
				5)	_dip	1396	6120	8.9312554E-5
				6)	_div	1882	4306	6.283985E-5
				7)	_din	2397	3102	4.5269207E-5
				8)	_dig	2511	2910	4.2467243E-5
				9)	_diá	2590	2767	4.0380364E-5
				10)	_die	3082	2023	2.9522762E-5
				11)	_dim	3514	1587	2.3159972E-5
				12)	_dij	3805	1333	1.9453208E-5
				13)	_dia	4393	987	1.4403839E-5
				14)	_dio	5803	501	7.311371E-6
				15)	_dil	5987	462	6.7422225E-6
			3)	_do	0	0	0.0
				1)	_dos	941	9123	1.33137E-4
				2)	_don	1985	4036	5.8899586E-5
				3)	_doc	2130	3681	5.3718875E-5
				4)	_dom	4253	1052	1.535242E-5
				5)	_doy	4488	935	1.36449735E-5
				6)	_dot	4540	910	1.3280135E-5
				7)	_dob	4755	818	1.1937528E-5
				8)	_dol	7020	292	4.261318E-6
			4)	_du	0	0	0.0
				1)	_dur	1047	8138	1.1876235E-4
				2)	_dud	1780	4589	6.696982E-5
				3)	_dup	7392	251	3.6629822E-6
			5)	_da	0	0	0.0
