Spanish	3	48706587	2999
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	1	1092667	0.015945897
			2)	_di	93	96969	0.0014151224
			3)	_do	496	21242	3.0999628E-4
			4)	_da	549	19086	2.785326E-4
			5)	_du	736	13339	1.9466343E-4
			6)	_dí	1091	6980	1.01863014E-4
			7)	_dé	1638	2480	3.6192017E-5
			8)	_dr	1760	1919	2.8005032E-5
			9)	_dó	1952	1282	1.8708937E-5
		2)	_l	0	0	0.0
			1)	_la	4	660159	0.009634066
			2)	_lo	26	274586	0.004007186
			3)	_le	317	32925	4.8049277E-4
			4)	_lu	447	23478	3.4262746E-4
			5)	_li	550	19069	2.7828448E-4
			6)	_ll	598	17223	2.5134478E-4
			7)	_lí	1308	4697	6.854592E-5
			8)	_ló	2029	1085	1.5834006E-5
			9)	_lá	2787	292	4.261318E-6
		3)	_q	0	0	0.0
			1)	_qu	8	445937	0.006507806
		4)	_c	0	0	0.0
			1)	_co	10	423454	0.006179699
			2)	_ca	110	79428	0.0011591369
			3)	_cu	120	73645	0.0010747423
			4)	_cr	252	39507	5.765476E-4
			5)	_ci	339	31391	4.5810628E-4
			6)	_cl	645	15880	2.3174565E-4
			7)	_ce	688	14732	2.1499225E-4
			8)	_có	1260	5106	7.451469E-5
			9)	_ch	1757	1932	2.8194747E-5
			10)	_cá	1976	1208	1.7629014E-5
			11)	_cí	2529	456	6.654661E-6
			12)	_cé	2550	437	6.377383E-6
		5)	_e	0	0	0.0
			1)	_en	14	398313	0.0058128024
			2)	_es	15	362664	0.0052925567
			3)	_el	18	314973	0.0045965756
			4)	_ex	162	59808	8.728113E-4
			5)	_em	323	32506	4.743781E-4
			6)	_eu	415	25560	3.7301125E-4
			7)	_ej	692	14702	2.1455444E-4
			8)	_ec	717	13983	2.0406168E-4
			9)	_ef	772	12606	1.8396635E-4
			10)	_ev	818	11587	1.6909553E-4
			11)	_e_	1112	6666	9.728064E-5
			12)	_er	1203	5668	8.2716266E-5
			13)	_eq	1235	5398	7.877601E-5
