Spanish	3	159236	267
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	1	5646	0.016413411
			2)	_di	99	465	0.0013517953
		2)	_l	0	0	0.0
			1)	_la	3	3648	0.010605052
			2)	_lo	26	1351	0.003927474
		3)	_c	0	0	0.0
			1)	_co	8	2198	0.0063897762
			2)	_ca	115	401	0.0011657417
			3)	_cu	124	360	0.0010465512
		4)	_q	0	0	0.0
			1)	_qu	12	2060	0.0059885983
		5)	_e	0	0	0.0
			1)	_en	14	1961	0.005700797
			2)	_es	15	1885	0.0054798583
			3)	_el	18	1588	0.0046164533
			4)	_ex	143	327	9.506173E-4
			5)	_em	181	280	8.1398425E-4
		6)	_s	0	0	0.0
			1)	_se	21	1477	0.004293767
			2)	_si	75	578	0.001680296
			3)	_so	84	537	0.0015611055
			4)	_su	98	468	0.0013605165
		7)	_y	0	0	0.0
			1)	_y_	27	1339	0.003892589
		8)	_r	0	0	0.0
			1)	_re	28	1245	0.0036193228
		9)	_p	0	0	0.0
			1)	_po	29	1217	0.0035379245
			2)	_pr	32	1133	0.0032937292
			3)	_pa	46	842	0.002447767
			4)	_pe	79	553	0.0016076189
			5)	_pu	169	293	8.517764E-4
		10)	_a	0	0	0.0
			1)	_a_	30	1182	0.0034361763
			2)	_al	94	479	0.0013924945
			3)	_ac	178	281	8.168913E-4
			4)	_ap	183	279	8.110772E-4
		11)	_u	0	0	0.0
			1)	_un	35	1063	0.003090233
		12)	_i	0	0	0.0
			1)	_in	42	932	0.0027094048
			2)	_im	250	212	6.1630236E-4
		13)	_h	0	0	0.0
			1)	_ha	56	756	0.0021977574
		14)	_n	0	0	0.0
			1)	_no	57	746	0.0021686866
		15)	_m	0	0	0.0
			1)	_me	83	539	0.0015669197
			2)	_mi	125	359	0.001043644
			3)	_ma	144	326	9.4771024E-4
			4)	_mu	231	227	6.5990863E-4
			5)	_má	235	223	6.482803E-4
		16)	_t	0	0	0.0
			1)	_tr	120	372	0.0010814362
			2)	_to	145	324	9.4189605E-4
