Spanish	2	282190	202
	1)	e	0	0	0.0
		1)	e_	1	9894	0.028762715
		2)	es	8	5786	0.016820403
		3)	en	9	5538	0.016099446
		4)	er	25	2998	0.008715446
		5)	el	32	2656	0.007721222
		6)	ec	55	1610	0.0046804096
		7)	em	81	1163	0.0033809417
		8)	eg	97	775	0.002252992
		9)	et	112	614	0.0017849512
		10)	ed	117	577	0.001677389
		11)	ea	140	415	0.001206441
		12)	ex	145	397	0.0011541133
		13)	eb	155	351	0.0010203874
		14)	eñ	168	286	8.3142676E-4
		15)	ef	170	280	8.1398425E-4
		16)	ev	171	278	8.0817007E-4
		17)	eo	174	273	7.936346E-4
		18)	ej	198	207	6.017669E-4
	2)	s	0	0	0.0
		1)	s_	2	9265	0.026934158
		2)	st	34	2456	0.007139805
		3)	se	36	2102	0.006110696
		4)	si	57	1530	0.0044478425
		5)	so	90	998	0.0029012724
		6)	sa	96	837	0.0024332316
		7)	su	113	612	0.001779137
		8)	sp	119	557	0.0016192473
	3)	a	0	0	0.0
		1)	a_	3	9244	0.026873108
		2)	as	18	3353	0.009747461
		3)	ar	26	2965	0.0086195115
		4)	ad	38	2021	0.005875222
		5)	al	39	2018	0.0058665005
		6)	an	41	1940	0.005639748
		7)	ac	54	1651	0.0047995998
		8)	am	82	1158	0.0033664063
		9)	at	106	659	0.0019157701
		10)	ab	108	645	0.0018750709
		11)	ay	143	400	0.0011628347
		12)	ap	151	375	0.0010901574
		13)	au	197	211	6.133953E-4
	4)	d	0	0	0.0
		1)	de	4	6649	0.019329218
		2)	do	42	1936	0.0056281197
		3)	da	45	1874	0.0054478804
		4)	di	79	1189	0.003456526
		5)	d_	125	515	0.0014971496
		6)	du	185	240	6.977008E-4
	5)	_	0	0	0.0
		1)	_e	5	6605	0.019201307
		2)	_d	6	6398	0.01859954
		3)	_l	11	5414	0.015738968
		4)	_p	13	4243	0.012334769
		5)	_a	15	3715	0.010799827
		6)	_c	16	3495	0.010160267
		7)	_s	20	3263	0.009485824
		8)	_q	37	2060	0.0059885983
		9)	_m	44	1900	0.0055234646
		10)	_y	60	1486	0.004319931
		11)	_t	66	1434	0.0041687624
		12)	_r	68	1406	0.004087364
		13)	_n	70	1316	0.003825726
		14)	_i	74	1264	0.0036745574
		15)	_u	80	1167	0.00339257
		16)	_h	87	1012	0.0029419716
		17)	_f	98	748	0.0021745008
		18)	_o	105	673	0.0019564694
		19)	_v	122	550	0.0015988976
		20)	_g	156	344	0.0010000378
		21)	_b	175	272	7.9072756E-4
	6)	o	0	0	0.0
		1)	o_	7	6377	0.018538492
		2)	os	14	3872	0.011256239
		3)	on	27	2818	0.00819217
		4)	or	30	2772	0.008058444
		5)	om	89	999	0.0029041795
		6)	ol	110	626	0.0018198362
		7)	ob	111	624	0.0018140221
		8)	od	116	577	0.001677389
		9)	op	133	471	0.0013692378
		10)	oc	134	463	0.0013459811
		11)	ot	158	339	9.855024E-4
	7)	n	0	0	0.0
		1)	n_	10	5453	0.015852343
		2)	nt	24	3064	0.008907313
		3)	na	58	1518	0.0044129575
		4)	ne	75	1251	0.0036367653
		5)	no	76	1249	0.0036309513
		6)	nc	77	1198	0.0034826898
		7)	nd	93	868	0.0025233512
		8)	ns	107	657	0.0019099559
		9)	ni	109	632	0.0018372787
		10)	nf	153	360	0.0010465512
		11)	nu	179	262	7.616567E-4
	8)	l	0	0	0.0
		1)	la	12	4567	0.013276665
		2)	l_	21	3136	0.009116624
		3)	lo	47	1803	0.005241477
		4)	le	69	1389	0.004037943
		5)	li	91	898	0.0026105638
		6)	ll	161	321	9.331748E-4
		7)	lu	163	312	9.0701104E-4
		8)	lt	184	242	7.0351496E-4
		9)	lí	190	225	6.540945E-4
	9)	c	0	0	0.0
