Portuguese	4	82417386	10829
	1)	m	0	0	0.0
		1)	me	0	0	0.0
			1)	men	0	0	0.0
				1)	ment	1	613628	0.004882745
				2)	mens	1462	13902	1.1062064E-4
				3)	meno	2262	8156	6.489871E-5
				4)	mend	2536	6885	5.4785145E-5
				5)	menc	3390	4267	3.3953263E-5
				6)	mena	6367	1027	8.172018E-6
				7)	menç	9108	367	2.920283E-6
			2)	med	0	0	0.0
				1)	medi	344	43518	3.462803E-4
				2)	medo	6376	1023	8.1401895E-6
			3)	mes	0	0	0.0
				1)	mesm	427	38223	3.0414708E-4
				2)	mes_	2323	7846	6.243199E-5
				3)	mese	2767	6019	4.789423E-5
				4)	mest	4311	2621	2.0855754E-5
				5)	mess	5302	1630	1.2970194E-5
				6)	mesa	5380	1576	1.2540507E-5
				7)	mesq	10778	204	1.6232635E-6
			4)	mer	0	0	0.0
				1)	merc	445	37181	2.958557E-4
				2)	mero	1264	16243	1.2924838E-4
				3)	mere	3145	4894	3.8942413E-5
				4)	meri	3163	4846	3.8560465E-5
				5)	mera	4232	2732	2.1739E-5
				6)	merg	4274	2664	2.1197913E-5
				7)	mer_	9302	343	2.7293108E-6
			5)	mel	0	0	0.0
				1)	melh	493	34967	2.7823853E-4
			6)	mei	0	0	0.0
				1)	meir	528	33254	2.6460786E-4
				2)	meio	1672	11968	9.5231466E-5
				3)	mei_	6044	1165	9.270108E-6
				4)	meia	7095	775	6.16681E-6
			7)	mem	0	0	0.0
				1)	memb	1839	10739	8.54521E-5
				2)	mem_	4339	2580	2.052951E-5
				3)	meme	5395	1568	1.2476849E-5
				4)	memo	6225	1081	8.601705E-6
				5)	memó	7361	703	5.5938935E-6
			8)	mea	0	0	0.0
				1)	mead	1897	10364	8.2468156E-5
				2)	meaç	2640	6513	5.1825078E-5
				3)	mear	9866	282	2.243923E-6
			9)	meç	0	0	0.0
				1)	meça	2428	7392	5.8819434E-5
				2)	meço	5572	1436	1.1426502E-5
				3)	meçá	10096	261	2.0768225E-6
			10)	met	0	0	0.0
				1)	mete	2793	5932	4.720196E-5
				2)	meti	3619	3772	3.0014462E-5
				3)	meta	3639	3729	2.9672303E-5
				4)	metr	4830	2009	1.5985963E-5
				5)	meto	7172	757	6.023581E-6
			11)	mec	0	0	0.0
				1)	meca	3435	4181	3.3268945E-5
				2)	mece	6815	865	6.882956E-6
			12)	mez	0	0	0.0
				1)	meza	7836	594	4.7265617E-6
			13)	mee	0	0	0.0
				1)	meei	9001	384	3.055555E-6
		2)	mo	0	0	0.0
			1)	mos	0	0	0.0
				1)	mos_	12	279008	0.0022201154
				2)	most	2597	6657	5.297091E-5
				3)	mosf	7463	680	5.4108787E-6
				4)	moss	8337	486	3.867187E-6
				5)	mosl	8596	445	3.5409425E-6
				6)	moso	9246	351	2.7929682E-6
				7)	mosa	9582	312	2.4826384E-6
			2)	moc	0	0	0.0
				1)	mocr	1010	19952	1.5876154E-4
				2)	moci	10184	252	2.005208E-6
			3)	mom	0	0	0.0
				1)	mome	1385	14747	1.1734445E-4
			4)	mod	0	0	0.0
				1)	mode	2068	9251	7.361182E-5
				2)	modi	3632	3742	2.9775747E-5
				3)	moda	5549	1459	1.1609517E-5
				4)	modo	6567	952	7.57523E-6
				5)	modu	9383	334	2.6576963E-6
			5)	mot	0	0	0.0
				1)	moti	2201	8502	6.76519E-5
				2)	moto	4860	1992	1.5850692E-5
				3)	mota	10595	217	1.7267068E-6
			6)	mov	0	0	0.0
				1)	move	2276	8073	6.4238266E-5
				2)	movi	3964	3163	2.5168543E-5
				3)	mova	8062	540	4.296874E-6
			7)	mon	0	0	0.0
				1)	mons	2337	7752	6.168402E-5
				2)	moni	2883	5708	4.541955E-5
