Spanish	3	12126110	2225
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	1	276318	0.0160817
			2)	_di	85	25481	0.0014829936
			3)	_do	503	5193	3.0223248E-4
			4)	_da	566	4636	2.698151E-4
			5)	_du	758	3216	1.8717111E-4
			6)	_dí	1038	1893	1.1017255E-4
			7)	_dé	1655	606	3.5269186E-5
			8)	_dr	1813	445	2.589899E-5
			9)	_dó	1861	383	2.2290591E-5
		2)	_l	0	0	0.0
			1)	_la	4	165295	0.0096201645
			2)	_lo	24	69584	0.004049787
			3)	_le	335	8001	4.65658E-4
			4)	_lu	448	5917	3.4436924E-4
			5)	_li	524	5024	2.9239667E-4
			6)	_ll	615	4193	2.4403249E-4
			7)	_lí	1365	1071	6.2332176E-5
			8)	_ló	2024	288	1.6761593E-5
		3)	_q	0	0	0.0
			1)	_qu	8	113156	0.006585676
		4)	_c	0	0	0.0
			1)	_co	11	106168	0.006178975
			2)	_ca	109	20378	0.0011859991
			3)	_cu	118	18583	0.0010815301
			4)	_cr	263	9397	5.4690515E-4
			5)	_ci	333	8032	4.674622E-4
			6)	_cl	650	3912	2.276783E-4
			7)	_ce	707	3550	2.0660991E-4
			8)	_có	1292	1207	7.024737E-5
			9)	_ch	1637	632	3.6782385E-5
			10)	_cá	1866	378	2.199959E-5
		5)	_e	0	0	0.0
			1)	_en	14	100148	0.005828611
			2)	_es	15	90897	0.0052902033
			3)	_el	18	78020	0.004540762
			4)	_ex	155	15342	8.92904E-4
			5)	_em	338	7892	4.593142E-4
			6)	_eu	411	6396	3.7224704E-4
			7)	_ej	701	3575	2.0806491E-4
			8)	_ec	711	3538	2.059115E-4
			9)	_ef	734	3402	1.9799631E-4
			10)	_ev	811	2955	1.7198092E-4
			11)	_e_	1158	1554	9.044276E-5
			12)	_er	1203	1409	8.200377E-5
			13)	_eq	1270	1241	7.222617E-5
			14)	_ed	1440	925	5.3834978E-5
			15)	_et	1513	790	4.597798E-5
		6)	_s	0	0	0.0
			1)	_se	22	71947	0.0041873134
