Spanish	4	9296843	4827
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	0	0	0.0
				1)	_de_	1	184232	0.010722298
				2)	_del	21	32497	0.0018913245
				3)	_des	60	16137	9.39173E-4
				4)	_deb	62	16018	9.322472E-4
				5)	_dec	158	8155	4.7462079E-4
				6)	_der	315	4915	2.8605288E-4
				7)	_dem	349	4737	2.7569328E-4
				8)	_def	880	2388	1.3898154E-4
				9)	_det	1013	2109	1.2274375E-4
				10)	_den	1321	1640	9.544796E-5
				11)	_dej	1671	1243	7.234257E-5
				12)	_dep	1795	1138	6.623157E-5
				13)	_ded	3099	504	2.9332787E-5
				14)	_dev	4347	256	1.4899194E-5
				15)	_deu	4415	249	1.4491794E-5
			2)	_di	0	0	0.0
				1)	_dis	200	6723	3.9127845E-4
				2)	_dir	371	4548	2.646935E-4
				3)	_dic	410	4173	2.428685E-4
				4)	_dif	588	3258	1.8961552E-4
				5)	_dip	1331	1621	9.434216E-5
				6)	_div	1873	1076	6.262317E-5
				7)	_din	2330	805	4.685098E-5
				8)	_dig	2335	802	4.667638E-5
				9)	_diá	2793	605	3.5210986E-5
				10)	_dim	3230	467	2.7179389E-5
				11)	_die	3337	440	2.560799E-5
				12)	_dij	3781	342	1.9904392E-5
				13)	_dia	4182	280	1.6295993E-5
			3)	_do	0	0	0.0
				1)	_dos	992	2152	1.2524634E-4
				2)	_don	2068	947	5.5115375E-5
				3)	_doc	2069	946	5.5057175E-5
				4)	_dot	4160	283	1.6470593E-5
				5)	_dom	4431	245	1.4258994E-5
				6)	_doy	4518	234	1.3618794E-5
			4)	_du	0	0	0.0
				1)	_dur	1103	1961	1.1413015E-4
				2)	_dud	1837	1104	6.4252774E-5
			5)	_dí	0	0	0.0
				1)	_día	1163	1882	1.0953235E-4
			6)	_da	0	0	0.0
				1)	_dar	1251	1733	1.00860554E-4
				2)	_dad	2156	892	5.1914376E-5
				3)	_dat	2723	635	3.6956983E-5
				4)	_dan	3455	411	2.3920189E-5
